date,ticker,equity,price,cash
2025-12-08,AAPL,10000.0,277.3746643066406,10000.0
2025-12-09,AAPL,10000.0,276.6659851074219,10000.0
2025-12-10,AAPL,10000.0,278.26300048828125,10000.0
2025-12-11,AAPL,10000.0,277.514404296875,10000.0
2025-12-12,AAPL,10000.0,277.763916015625,10000.0
2025-12-15,AAPL,10000.0,273.6016540527344,10000.0
2025-12-16,AAPL,10000.0,274.1007385253906,10000.0
2025-12-17,AAPL,10000.0,271.33587646484375,10000.0
2025-12-18,AAPL,10000.0,271.68524169921875,10000.0
2025-12-19,AAPL,10000.0,273.1625061035156,10000.0
2025-12-22,AAPL,10000.0,270.4674987792969,10000.0
2025-12-23,AAPL,10000.0,271.85491943359375,10000.0
2025-12-24,AAPL,10000.0,273.3022155761719,10000.0
2025-12-26,AAPL,10000.0,272.89300537109375,10000.0
2025-12-29,AAPL,10000.0,273.2523498535156,10000.0
2025-12-30,AAPL,10000.0,272.57354736328125,10000.0
2025-12-31,AAPL,10000.0,271.3558349609375,10000.0
2026-01-02,AAPL,10000.0,270.5074462890625,10000.0
2026-01-05,AAPL,10000.0,266.764404296875,10000.0
2026-01-06,AAPL,10000.0,261.87347412109375,10000.0
2026-01-07,AAPL,10000.0,259.84722900390625,10000.0
2026-01-08,AAPL,10000.0,258.55963134765625,10000.0
2026-01-09,AAPL,10000.0,258.8890075683594,10000.0
2026-01-12,AAPL,10000.0,259.7673645019531,10000.0
2026-01-13,AAPL,10000.0,260.5658874511719,10000.0
2026-01-14,AAPL,10000.0,259.4779052734375,10000.0
2026-01-15,AAPL,10000.0,257.7311706542969,10000.0
2026-01-16,AAPL,10000.0,255.05612182617188,10000.0
2026-01-20,AAPL,10000.0,246.2425079345703,10000.0
2026-01-21,AAPL,10000.0,247.1907501220703,10000.0
2026-01-22,AAPL,10000.0,247.8894500732422,10000.0
2026-01-23,AAPL,10000.0,247.58001708984375,10000.0
2026-01-26,AAPL,10000.0,254.93637084960938,10000.0
2026-01-27,AAPL,10000.0,257.7910461425781,10000.0
2026-01-28,AAPL,10000.0,255.96444702148438,10000.0
2026-01-29,AAPL,10000.0,257.801025390625,10000.0
2026-01-30,AAPL,10000.0,258.99884033203125,10000.0
2026-02-02,AAPL,10000.0,269.50927734375,10000.0
2026-02-03,AAPL,10000.0,268.98028564453125,10000.0
2026-02-04,AAPL,9997.5,275.97723388671875,7497.5
2026-03-06,AAPL,9850.867712304309,257.2229919433594,9850.867712304309
2026-03-09,AAPL,9850.867712304309,259.6407775878906,9850.867712304309
2026-03-10,AAPL,9850.867712304309,260.58990478515625,9850.867712304309
2026-03-11,AAPL,9850.867712304309,260.5699157714844,9850.867712304309
2026-03-12,AAPL,9850.867712304309,255.52456665039062,9850.867712304309
2026-03-13,AAPL,9850.867712304309,249.8897705078125,9850.867712304309
2026-03-16,AAPL,9850.867712304309,252.58729553222656,9850.867712304309
2026-03-17,AAPL,9850.867712304309,253.99598693847656,9850.867712304309
2026-03-18,AAPL,9850.867712304309,249.70994567871094,9850.867712304309
2026-03-19,AAPL,9850.867712304309,248.73085021972656,9850.867712304309
2026-03-20,AAPL,9850.867712304309,247.76173400878906,9850.867712304309
2026-03-23,AAPL,9850.867712304309,251.25851440429688,9850.867712304309
2026-03-24,AAPL,9850.867712304309,251.4083709716797,9850.867712304309
2026-03-25,AAPL,9850.867712304309,252.38746643066406,9850.867712304309
2026-03-26,AAPL,9850.867712304309,252.6572265625,9850.867712304309
2026-03-27,AAPL,9850.867712304309,248.57098388671875,9850.867712304309
2026-03-30,AAPL,9850.867712304309,246.40298461914062,9850.867712304309
2026-03-31,AAPL,9850.867712304309,253.55638122558594,9850.867712304309
2026-04-01,AAPL,9850.867712304309,255.3946990966797,9850.867712304309
2026-04-02,AAPL,9850.867712304309,255.68443298339844,9850.867712304309
2026-04-06,AAPL,9850.867712304309,258.6217041015625,9850.867712304309
2026-04-07,AAPL,9850.867712304309,253.26666259765625,9850.867712304309
2026-04-08,AAPL,9850.867712304309,258.66168212890625,9850.867712304309
2026-04-09,AAPL,9850.867712304309,260.2502136230469,9850.867712304309
2026-04-10,AAPL,9850.867712304309,260.240234375,9850.867712304309
2026-04-13,AAPL,9848.404995376233,258.96142578125,7385.688067300156
